Sale_ID,Product_ID,Customer_ID,Date,Quantity,Sale_Price,Channel,Campaign_ID,Revenue
1,197,2001,2025-05-28,1,270.16,Social,212,270.16
2,185,2001,2023-10-20,1,143.79,In-Store,108,143.79
3,124,2001,2025-04-13,4,174.26,Online,62,174.26
4,121,2001,2023-08-24,4,126.42,Online,32,126.42
5,170,2001,2023-05-20,4,124.94,Online,26,124.94
6,127,2001,2025-11-18,3,184.65,Online,74,184.65
7,103,2001,2024-08-21,3,74.85,Email,272,74.85
8,122,2001,2025-08-06,1,224.2,Social,215,224.2
9,120,2001,2025-02-01,4,186.86,Social,207,186.86
10,151,2001,2024-11-19,5,170.44,Online,54,170.44
11,180,2001,2024-08-01,5,97.9,Online,49,97.9
12,104,2001,2025-10-01,1,50.25,Online,71,50.25
13,199,2001,2024-10-24,2,105.38,Email,276,105.38
14,162,2001,2025-03-03,5,23.29,Online,60,23.29
15,153,2001,2024-11-02,4,44.91,Online,54,44.91
16,198,2001,2022-12-06,3,167.93,Social,168,167.93
17,181,2001,2025-02-23,5,231.25,Online,60,231.25
18,135,2001,2022-08-23,5,62.14,Online,12,62.14
19,105,2001,2024-08-06,4,45.85,In-Store,124,45.85
20,128,2001,2025-05-27,3,69.61,Online,65,69.61
21,147,2001,2022-09-03,1,193.11,Online,12,193.11
22,181,2001,2025-12-03,2,231.25,Social,221,231.25
23,183,2001,2022-06-20,3,127.82,Online,8,127.82
24,143,2001,2024-10-06,4,18.47,In-Store,127,18.47
25,158,2001,2023-09-13,2,132.56,Online,33,132.56
26,104,2001,2022-08-27,5,50.25,Online,12,50.25
27,151,2002,2024-12-22,1,170.44,Online,57,170.44
28,140,2002,2023-10-18,4,139.7,Online,33,139.7
29,197,2002,2024-11-22,5,270.16,In-Store,130,270.16
30,156,2002,2024-08-10,5,13.54,Online,49,13.54
31,159,2002,2025-08-24,4,21.52,Social,215,21.52
32,177,2002,2024-01-02,1,296.45,Online,37,296.45
33,101,2002,2023-10-21,2,116.4,Social,185,116.4
34,170,2002,2024-05-06,2,124.94,In-Store,119,124.94
35,172,2002,2024-12-24,5,75.03,Online,56,75.03
36,183,2002,2024-08-08,2,127.82,Online,49,127.82
37,120,2002,2023-10-27,2,186.86,In-Store,110,186.86
38,129,2002,2025-01-02,4,269.37,Online,57,269.37
39,151,2002,2025-01-07,2,170.44,Online,58,170.44
40,196,2002,2024-11-09,1,162.21,Online,54,162.21
41,122,2002,2025-10-04,4,224.2,Social,218,224.2
42,109,2002,2025-10-28,5,69.39,TV,363,69.39
43,136,2002,2023-11-11,4,134.23,Online,36,134.23
44,133,2002,2025-10-16,4,129.42,Online,71,129.42
45,103,2002,2023-12-06,4,74.85,In-Store,111,74.85
